Id,SalePrice
1461,132963.046875000
1462,164872.640625000
1463,207515.718750000
1464,215944.062500000
1465,175150.359375000
1466,190609.218750000
1467,187465.656250000
1468,181980.906250000
1469,195283.421875000
1470,138307.156250000
1471,201546.625000000
1472,111608.320312500
1473,107670.531250000
1474,159943.796875000
1475,96333.914062500
1476,357854.187500000
1477,260978.093750000
1478,280207.000000000
1479,268214.593750000
1480,440382.625000000
1481,321456.718750000
1482,203082.015625000
1483,195646.250000000
1484,168871.093750000
1485,191679.625000000
1486,210995.218750000
1487,311893.750000000
1488,267105.437500000
1489,219559.187500000
1490,262955.500000000
1491,216114.750000000
1492,111573.187500000
1493,190404.000000000
1494,286977.187500000
1495,287381.812500000
1496,264411.125000000
1497,197183.296875000
1498,176848.125000000
1499,162731.015625000
1500,175930.828125000
1501,195413.687500000
1502,169627.343750000
1503,221907.937500000
1504,258161.562500000
1505,244444.703125000
1506,196563.359375000
1507,276462.375000000
1508,203184.015625000
1509,176978.968750000
1510,149917.140625000
1511,157719.656250000
1512,183145.093750000
1513,142810.671875000
1514,134656.640625000
1515,213238.265625000
1516,163494.390625000
1517,182708.609375000
1518,129958.492187500
1519,244389.656250000
1520,140295.546875000
1521,140524.265625000
1522,183758.671875000
1523,116598.414062500
1524,149710.515625000
1525,140960.718750000
1526,110717.421875000
1527,118291.757812500
1528,164918.421875000
1529,139926.656250000
1530,179165.718750000
1531,98326.429687500
1532,100356.789062500
1533,165682.531250000
1534,139236.531250000
1535,171979.531250000
1536,121522.726562500
1537,77779.390625000
1538,127341.640625000
1539,227288.265625000
1540,155949.953125000
1541,138030.437500000
1542,152824.453125000
1543,128724.375000000
1544,110152.687500000
1545,122324.250000000
1546,141316.859375000
1547,122354.875000000
1548,132696.281250000
1549,100282.554687500
1550,135471.625000000
1551,114753.492187500
1552,157053.890625000
1553,98378.898437500
1554,150286.140625000
1555,188570.828125000
1556,71538.179687500
1557,65793.390625000
1558,96615.210937500
1559,97294.414062500
1560,104650.187500000
1561,75333.484375000
1562,120380.179687500
1563,128346.398437500
1564,171735.125000000
1565,157205.078125000
1566,236886.984375000
1567,72591.421875000
1568,240391.140625000
1569,117893.617187500
1570,137514.609375000
1571,152112.609375000
1572,162061.781250000
1573,281660.000000000
1574,89916.820312500
1575,189293.218750000
1576,268556.343750000
1577,188778.265625000
1578,154770.015625000
1579,160656.390625000
1580,206347.015625000
1581,147889.562500000
1582,146401.328125000
1583,303835.093750000
1584,240410.984375000
1585,153564.453125000
1586,70669.765625000
1587,111798.304687500
1588,161697.531250000
1589,101943.164062500
1590,145713.718750000
1591,113072.460937500
1592,86529.179687500
1593,126105.570312500
1594,88790.343750000
1595,60634.347656250
1596,222847.671875000
1597,182259.625000000
1598,223939.421875000
1599,162093.343750000
1600,143240.343750000
1601,107848.671875000
1602,119711.601562500
1603,44195.332031250
1604,262316.687500000
1605,257228.656250000
1606,190217.046875000
1607,166005.921875000
1608,232760.531250000
1609,212068.406250000
1610,172293.765625000
1611,146412.703125000
1612,195505.171875000
1613,172195.328125000
1614,123625.234375000
1615,94390.906250000
1616,73498.617187500
1617,111088.015625000
1618,136202.781250000
1619,147080.234375000
1620,130964.718750000
1621,147798.953125000
1622,126683.671875000
1623,281028.250000000
1624,217704.031250000
1625,117349.804687500
1626,175983.406250000
1627,215394.750000000
1628,277118.281250000
1629,193734.828125000
1630,396590.968750000
1631,231605.265625000
1632,245569.968750000
1633,183922.078125000
1634,202108.531250000
1635,186922.718750000
1636,162725.453125000
1637,215449.859375000
1638,196469.437500000
1639,209668.312500000
1640,275387.187500000
1641,203141.500000000
1642,248681.828125000
1643,246724.062500000
1644,231130.906250000
1645,239474.015625000
1646,170373.187500000
1647,170051.171875000
1648,123222.875000000
1649,138264.750000000
1650,136903.265625000
1651,142016.609375000
1652,109285.851562500
1653,106940.367187500
1654,157090.781250000
1655,140814.890625000
1656,153639.171875000
1657,158053.015625000
1658,153276.328125000
1659,123749.718750000
1660,148798.781250000
1661,408364.218750000
1662,374590.875000000
1663,367116.593750000
1664,473755.625000000
1665,303643.843750000
1666,322716.031250000
1667,343198.875000000
1668,342422.468750000
1669,312336.656250000
1670,344498.000000000
1671,279413.437500000
1672,429693.343750000
1673,298109.031250000
1674,250057.515625000
1675,204012.703125000
1676,221557.406250000
1677,221730.468750000
1678,431770.562500000
1679,378662.500000000
1680,325622.843750000
1681,257936.203125000
1682,307524.968750000
1683,200678.578125000
1684,192767.234375000
1685,183192.921875000
1686,172364.031250000
1687,184423.796875000
1688,206379.828125000
1689,209769.453125000
1690,203877.171875000
1691,192507.687500000
1692,265249.437500000
1693,171198.140625000
1694,201722.531250000
1695,188069.500000000
1696,279779.437500000
1697,190215.921875000
1698,341179.343750000
1699,316931.843750000
1700,268891.875000000
1701,269648.281250000
1702,263776.437500000
1703,259975.734375000
1704,300133.468750000
1705,246280.515625000
1706,408467.593750000
1707,237825.453125000
1708,222918.921875000
1709,278524.187500000
1710,236220.546875000
1711,277648.531250000
1712,286732.656250000
1713,297018.093750000
1714,246134.968750000
1715,223736.078125000
1716,195321.906250000
1717,173653.140625000
1718,67139.601562500
1719,229643.109375000
1720,241874.468750000
